2025-01-23 22:43:00 status installed procmail:amd64 3.22-27
2025-01-23 22:43:00 configure procps:amd64 2:4.0.2-3 <none>
2025-01-23 22:43:00 status unpacked procps:amd64 2:4.0.2-3
2025-01-23 22:43:00 status half-configured procps:amd64 2:4.0.2-3
2025-01-23 22:43:00 status installed procps:amd64 2:4.0.2-3
2025-01-23 22:43:00 configure netbase:all 6.4 <none>
2025-01-23 22:43:00 status unpacked netbase:all 6.4
2025-01-23 22:43:00 status half-configured netbase:all 6.4
2025-01-23 22:43:00 status installed netbase:all 6.4
2025-01-23 22:43:00 configure liblockfile1:amd64 1.17-1+b1 <none>
2025-01-23 22:43:00 status unpacked liblockfile1:amd64 1.17-1+b1
2025-01-23 22:43:00 status half-configured liblockfile1:amd64 1.17-1+b1
2025-01-23 22:43:00 status installed liblockfile1:amd64 1.17-1+b1
2025-01-23 22:43:00 configure libjs-jquery:all 3.6.1+dfsg+~3.5.14-1 <none>
2025-01-23 22:43:00 status unpacked libjs-jquery:all 3.6.1+dfsg+~3.5.14-1
2025-01-23 22:43:00 status half-configured libjs-jquery:all 3.6.1+dfsg+~3.5.14-1
2025-01-23 22:43:00 status installed libjs-jquery:all 3.6.1+dfsg+~3.5.14-1
2025-01-23 22:43:00 configure python3-yarl:amd64 1.8.2-1+b1 <none>
2025-01-23 22:43:00 status unpacked python3-yarl:amd64 1.8.2-1+b1
2025-01-23 22:43:00 status half-configured python3-yarl:amd64 1.8.2-1+b1
2025-01-23 22:43:00 status installed python3-yarl:amd64 1.8.2-1+b1
2025-01-23 22:43:00 configure python3-deprecated:all 1.2.13-3 <none>
2025-01-23 22:43:00 status unpacked python3-deprecated:all 1.2.13-3
2025-01-23 22:43:00 status half-configured python3-deprecated:all 1.2.13-3
2025-01-23 22:43:00 status installed python3-deprecated:all 1.2.13-3
2025-01-23 22:43:00 configure python3-cffi-backend:amd64 1.15.1-5+b1 <none>
2025-01-23 22:43:00 status unpacked python3-cffi-backend:amd64 1.15.1-5+b1
2025-01-23 22:43:00 status half-configured python3-cffi-backend:amd64 1.15.1-5+b1
2025-01-23 22:43:00 status installed python3-cffi-backend:amd64 1.15.1-5+b1
2025-01-23 22:43:00 configure python3-aiohttp:amd64 3.8.4-1+deb12u1 <none>
2025-01-23 22:43:00 status unpacked python3-aiohttp:amd64 3.8.4-1+deb12u1
2025-01-23 22:43:00 status half-configured python3-aiohttp:amd64 3.8.4-1+deb12u1
2025-01-23 22:43:00 status installed python3-aiohttp:amd64 3.8.4-1+deb12u1
2025-01-23 22:43:00 configure python3-aiosqlite:all 0.17.0-2 <none>
2025-01-23 22:43:00 status unpacked python3-aiosqlite:all 0.17.0-2
2025-01-23 22:43:00 status half-configured python3-aiosqlite:all 0.17.0-2
2025-01-23 22:43:00 status installed python3-aiosqlite:all 0.17.0-2
2025-01-23 22:43:00 configure lockfile-progs:amd64 0.1.19 <none>
